dataset,longname,hash,indiv,std_dev,mean,diff,data_seed,DecisionTreeClassifier,GradientBoostingClassifier,KNeighborsClassifier,LGBMClassifier,LogisticRegression,RandomForestClassifier,SVC,XGBClassifier
digen8_4426,XGLSFKDR_0.196_0.753_4426,40c02996d8e91462ed94cab184e7b577,"safeDiv(X0, mul(X5, X2))",0.19560970986571702,0.7532875,0.5103,4426,0.4815,0.9822,0.5871000000000001,0.8658999999999999,0.4806,0.8131999999999999,0.8249000000000001,0.9909
digen32_5191,XGLFSKR-D_0.196_0.777_5191,dbe2c71857ec74acd62b505cd88baf0e,"mul(X3, mul(X1, min(X9, X6)))",0.1959255836687427,0.7770312500000001,0.49179999999999996,5191,0.4996,0.9835,0.6412,0.9721,0.5,0.8668,0.7616499999999999,0.9914
digen39_5578,SXLGFKDR_0.127_0.889_5578,eff5d6f616d3619aa1d07fa1d462c2ce,"lt(mul(X7, X9), mul(X4, X0))",0.12652533096182753,0.889075,0.4030999999999999,5578,0.8159,0.9685,0.885,0.9702999999999998,0.5863,0.9266,0.9894,0.9706
digen36_466,SXFL-KGDR_0.134_0.746_466,e9318e76533f10b6bc3bbc7c28ed3382,"ne(lt(X5, X3), gt(X6, X8))",0.13412414360747096,0.74624375,0.44809999999999994,466,0.57675,0.7317,0.7855,0.7863999999999999,0.5038,0.7976,0.9519,0.8363
digen13_769,SGXFLKDR_0.111_0.826_769,62b7d40d8b54c6e59fa955e3d4e752c7,"le(add(mul(X7, X9), mul(1.0, mul(X0, X8))), safeDiv(gt(min(sub(X1, X7), mul(safeDiv(X4, X9), sub(X1, X3))), le(X2, safeDiv(X5, eq(X8, X8)))), X0))",0.11144499887136027,0.82569375,0.33304999999999985,769,0.6816,0.9033,0.8479,0.8704999999999999,0.5988000000000001,0.8787999999999999,0.93185,0.8928
digen35_4426,GXLSFKDR_0.187_0.756_4426,dd95c99020b1a257097e5c200c0a9f67,"safeDiv(add(X7, lt(X6, safeDiv(0.0, X5))), safeDiv(X0, safeDiv(1.0, X8)))",0.18704862126931066,0.7558874999999999,0.5137000000000002,4426,0.54885,0.9824,0.6295499999999999,0.9448,0.4686999999999999,0.6980999999999999,0.8046,0.9701
digen1_6265,RSXG-KLFD_0.024_0.976_6265,055781b845ac2caa27824a33006061a3,"lt(add(add(X2, X9), safeDiv(X7, 1.0)), X1)",0.023922856976905996,0.97633125,0.08045000000000002,6265,0.91545,0.9824,0.9823,0.9802,0.9959,0.975,0.9943,0.9851
digen10_8322,SXLFGKDR_0.156_0.799_8322,4f4d4b59c3b52d231f28eb265fea3b38,"mul(ne(X0, 1.0), eq(lt(X9, X2), lt(X5, X0)))",0.15581226484137886,0.799425,0.4563999999999999,8322,0.5679000000000001,0.8566,0.7892,0.8935,0.5209,0.8737,0.9773,0.9163
digen23_5191,XLGSFKRD_0.197_0.747_5191,947d2c1e34ce64f53371088a8bd81049,"safeDiv(mul(safeDiv(X1, le(X9, X9)), X7), X3)",0.19715696911027517,0.7467625,0.5122500000000001,5191,0.47645,0.9679,0.6285499999999999,0.9731,0.5,0.6816000000000001,0.7578,0.9887
digen22_2433,F-XGLSKDR_0.168_0.868_2433,7e2a77983d9f31a968812c0f3958065c,"le(eq(X6, X0), safeDiv(X4, X3))",0.16776751585154978,0.867575,0.4091,2433,0.5963999999999999,0.9892,0.8411000000000001,0.9878,0.5809,0.99,0.9653,0.9899
digen24_2433,XGLFSKRD_0.201_0.789_2433,9b28c4f49e7b1bde1728b83536fe9147,"safeDiv(safeDiv(X0, X2), min(X4, X8))",0.2007625111878149,0.7889562499999999,0.4969,2433,0.5015,0.9885,0.6376499999999999,0.9862,0.5076999999999999,0.912,0.7797,0.9984
digen3_769,RSKG-XLFD_0.036_0.958_769,205b51cd14c905aa0297802ea10e9081,"ge(sub(X4, X7), sub(X8, X5))",0.03606676913638783,0.95823125,0.11774999999999991,769,0.8650500000000001,0.9712,0.9719,0.9656,0.9828,0.9568,0.9817,0.9708
digen17_6949,GXLSFKDR_0.208_0.764_6949,75127e66af66ebe40b2da9ed566e6c0f,"safeDiv(sub(add(X3, 0.0), safeDiv(X7, X5)), X3)",0.20792135372764747,0.76376875,0.5503,6949,0.46915,0.9986,0.6422,0.9432,0.4483,0.8053,0.8078,0.9956
digen26_7270,FXGLDSKR_0.191_0.846_7270,b0eb9dfa3bdc461938932c081dea9616,"mul(min(X1, X7), safeDiv(X6, X8))",0.19084440447325146,0.8460375,0.5557000000000001,7270,0.9447,0.9721,0.64345,0.9698,0.4311,0.9868,0.84245,0.9779
digen7_6949,LXGSFKDR_0.169_0.818_6949,3a6e23ed171d9e374d942c788f7f20aa,"safeDiv(X0, safeDiv(X5, X8))",0.1686281096822235,0.818125,0.47630000000000006,6949,0.6580000000000001,0.9845,0.6804000000000001,0.9947,0.5184,0.8354999999999999,0.8832,0.9903
digen16_5390,SGLXFKDR_0.167_0.805_5390,697031700581929e4ac2e1d5356c3289,"ne(lt(X3, X9), ge(X7, X0))",0.16667425706674083,0.8046875,0.45055,5390,0.52755,0.9209,0.8175,0.9142,0.526,0.8458,0.97655,0.909
digen27_860,X-FGDLSKR_0.189_0.818_860,b11e2b6c15425c57c8d864c53c3b65f5,"ge(mul(X8, safeDiv(X2, X1)), mul(X2, X8))",0.18876784094076382,0.8178937499999999,0.47980000000000006,860,0.9539,0.9649,0.6093999999999999,0.94505,0.4905,0.9697,0.6394,0.9703
digen37_769,SFXLGDKR_0.141_0.846_769,ea429d1072d24477c13b6a2d0e3cd4af,"ne(le(X4, safeDiv(sub(X6, X4), ne(X6, X1))), ge(X2, X1))",0.14088887464949104,0.8455,0.49,769,0.8596,0.8863000000000001,0.784,0.9009,0.503,0.9315,0.993,0.9057
digen12_8322,XGLFDSKR_0.173_0.831_8322,611be8d8540a21164083d797f95b542d,"mul(safeDiv(X5, X3), add(X6, eq(eq(X2, X3), safeDiv(X0, X3))))",0.1729822180845115,0.83080625,0.4998,8322,0.88785,0.9861,0.6425000000000001,0.9852,0.5,0.9079,0.7371000000000001,0.9998
digen6_466,LXGFDSKR_0.163_0.84_466,3892f70e6554356d8b02bbffb4c7b132,"safeDiv(min(58.896942740933355, X2), mul(X7, X9))",0.16303684351627395,0.8398375,0.4979,466,0.8711000000000001,0.9442,0.6555,0.997,0.4991,0.9082,0.859,0.9846
digen25_2433,X-GLFSKDR_0.179_0.824_2433,a1ad9f4dd7bcaf67225671a979f8e1e7,"mul(safeDiv(X8, X6), add(X5, mul(gt(X5, 18.80821738462336), lt(90.15858567926713, ge(X3, X2)))))",0.1786217335906734,0.82361875,0.5256000000000001,2433,0.6870499999999999,1.0,0.6933,0.985,0.4744,0.9204,0.8288,1.0
digen34_769,GXSFLKDR_0.181_0.73_769,dd2ab1ce5a50091861e48c5c5f2e5294,"mul(X7, safeDiv(X5, X3))",0.18050773356008878,0.729775,0.5056,769,0.4962,0.987,0.6134999999999999,0.7341999999999999,0.4814,0.745,0.8103,0.9706
digen31_2433,SXFLGKDR_0.173_0.785_2433,d50fa4e76204dc8118a0ce01f06cab90,"ne(eq(eq(X6, X1), lt(X6, X8)), ge(eq(X3, X5), lt(X7, X2)))",0.17283819734346198,0.78488125,0.468,2433,0.5071499999999999,0.8669,0.7925,0.8795,0.4816,0.8946000000000001,0.9496,0.9072
digen33_769,SGXLFKDR_0.089_0.847_769,dbf387e51d8d2b9ebaf150211b57b722,"mul(add(X4, X3), sub(min(X5, X9), add(X3, X7)))",0.08938339383660705,0.8472125,0.28770000000000007,769,0.7881,0.9269,0.7949,0.8854,0.6567,0.8772000000000001,0.9444,0.9041
digen38_4426,GXSLFKDR_0.183_0.763_4426,ef0ab550e15c5ae2924bd072e2a34385,"sub(mul(safeDiv(ne(max(X0, X6), eq(X3, eq(0.0, X8))), safeDiv(X7, X0)), X6), ne(X1, 1.0))",0.18250062842357553,0.763375,0.5296000000000001,4426,0.536,0.9957,0.679,0.8504999999999999,0.4661,0.7416000000000001,0.8529,0.9852
digen28_769,XGLSFKRD_0.198_0.759_769,bf04a2d38fec4d556ae1167d55db0586,"sub(ne(X5, 65.91235228821726), mul(safeDiv(X5, X2), X1))",0.19757562001674195,0.7594000000000001,0.49904999999999994,769,0.47925,0.9769,0.60675,0.9084,0.4806999999999999,0.7614000000000001,0.8835000000000001,0.9783
digen40_5390,XLGFSRDK_0.187_0.734_5390,fdf531420ac5b9ecefdf78e0943ae0d9,"safeDiv(add(add(0.0, X8), safeDiv(X8, X1)), add(lt(X3, X3), X6))",0.18733369948019898,0.73371875,0.4462999999999999,5390,0.5460499999999999,0.9384,0.53,0.9709,0.5791999999999999,0.7468,0.5821,0.9763
